,s0,s1,s2,s3,s4,s5,s6
frameWidth,0.016482748685618054,0.01488992667480371,0.04256160110998386,0.06547532920730759,0.043073972385534454,0.038545269457646025,0.02323299645996668
frameHeight,0.01585505741816151,0.015804869249282927,0.05108192017139701,0.08205616275367134,0.06854002459129616,0.06590814165129633,0.062381770859907926
paramQP,0.03479422038789548,0.031889243666876954,0.013325698136718689,0.01242784793087326,0.01544379184744682,0.020547028539156464,0.017497139902708847
topLeft_x,0.011404512038522885,0.010867929902012685,0.012968136275570918,0.024940352602930815,0.010721212525116153,0.006988357662478961,0.006069868756364505
topLeft_y,0.006784932443419045,0.006027157060145116,0.038745079403375016,0.030629589406546698,0.009875581259917388,0.00540214252618143,0.005136033072661084
bottomRight_x,0.007262013327702821,0.004021032381404055,0.014039007074799992,0.02609031229417824,0.01061720446855885,0.006453910072380387,0.005070542086083263
bottomRight_y,0.00829097956996283,0.005516739754543698,0.03773299060752677,0.03206489790280198,0.00846110523649335,0.005869459857115622,0.0036871375825804353
POC,0.013470727386742931,0.019819672565280166,0.023102253939284667,0.03387005846208613,0.026714425606417125,0.023550086796110925,0.021919412618875533
variance,0.17149480236957393,0.1469382397783805,0.40226941429854457,0.24088260432793285,0.11527099009359376,0.08431035199891124,0.04980166968648114
mean,0.16446065220447315,0.13024749705467342,0.3757888355196801,0.176144238119619,0.07526140558801608,0.04548801955476334,0.027145386456885134
gradientH,0.07401940646584215,0.052093838472776044,0.07501229917193641,0.04637530056322192,0.022730058395649788,0.018320596033217118,0.010215134159208494
gradientV,0.07845884328738251,0.05310288017296361,0.08436089485197384,0.05199427404523704,0.02759216304503065,0.02695242413922294,0.017232479096591202
ratioGrad,0.12181992536584074,0.10503390027235238,0.35568325777495224,0.15112400797789105,0.06775241866719117,0.045932885048317385,0.03304259714685198
sum,0.16344287976788374,0.13053367702222451,0.35804773256147193,0.17367365515521715,0.07505705763452242,0.04600944477453539,0.027199642255461676
quarter1Var,0.16803861782227703,0.14453435826649552,0.3349117826591044,0.1852264127862442,0.0755338836436179,0.0594026042851723,0.03018960980921026
quarter1Mean,0.15950492781185943,0.13046402234803778,0.29337021093996096,0.12833629984465578,0.039165516966310765,0.02937881131744291,0.01637377657671424
quarter1GradH,0.07507038173615377,0.051462452489687616,0.07136698347902648,0.055195422075306144,0.026235028831750995,0.024622885269782735,0.008472961315193706
quarter1GradV,0.0794970492434457,0.05483701282716158,0.0707812437693296,0.052821178710477756,0.03409094775653809,0.032827899194146415,0.01644057441034308
quarter1RatioGrad,0.11969387734130743,0.10715106631962956,0.26824889339196,0.10737759070974695,0.042150178895780765,0.03477645295722365,0.02198863944881957
quarter1Sum,0.16016042211576353,0.12805782024833334,0.28946991924452203,0.11958269388969711,0.03246921535129177,0.023286456765235553,0.012925700993870137
quarter2Var,0.16552230893329822,0.14569699586859408,0.3380519489403975,0.19048401733326226,0.07767061939819309,0.06250118991553877,0.0325792471002988
quarter2Mean,0.15700851506848368,0.1310707087082177,0.29484979944792644,0.12769660019378515,0.04110331294831937,0.02945966143003287,0.017069626314742292
quarter2GradH,0.07539234760352498,0.057272001210957324,0.07344918369201237,0.0557789780040876,0.02705277592509825,0.02177893313378787,0.009911866019736149
quarter2GradV,0.07146848290670627,0.058132680646930224,0.07815572639491775,0.055538505235835034,0.032870565505012994,0.03090081147025625,0.01741925367129582
quarter2RatioGrad,0.12354607951697294,0.1066278743627227,0.2718811886194441,0.10929713651537964,0.0393224875226299,0.035223306270278476,0.020827427742067917
quarter2Sum,0.1563350850192995,0.1317100743066626,0.2891220873745344,0.1278568997536842,0.040257982684374305,0.028802597057335566,0.017366597033800613
quarter3Var,,,0.10219927867198475,0.051298342345494685,0.030872942415724802,0.021088566570356848,0.010779009283903296
quarter3Mean,,,0.09247154166415594,0.044446732060533733,0.01950472457467689,0.010768195498901623,0.006958105739214071
quarter3GradH,,,0.07513935515311299,0.03401239019913982,0.012771985502811889,0.008827759330748641,0.00685670213986711
quarter3GradV,,,0.07528531285277995,0.03659580386418115,0.01812145088139272,0.012412606695225481,0.007746986634773689
quarter3RatioGrad,,,0.09444215832880776,0.049536451067361265,0.0227489690848659,0.01782085556930868,0.012330855547260322
quarter3Sum,,,0.0926654852880402,0.043482510124192686,0.01873526759562938,0.010812007900907528,0.008097808626442715
CU_width,,,,0.03079622349903821,0.025656651858927182,0.030493820969334617,0.025604727082673806
CU_height,,,,0.03347991233977621,0.02629162723025158,0.03118482280777224,0.026819877724349572
